month,quarter,season_num,boe_rate,cpi,is_new_build,is_freehold,county_median,town_median,type_F,type_S,type_T,price
6,2,2,4.25,3.3,0,0,205000.0,205000.0,False,True,False,180000
5,2,1,4.25,3.4,0,1,355000.0,437750.0,False,False,True,215000
8,3,2,4.25,3.1,0,1,200000.0,200000.0,False,False,False,445000
3,1,1,4.5,2.6,0,1,505000.0,445000.0,False,True,False,500000
10,4,3,4.0,3.0,0,1,228000.0,221379.0,False,False,False,424000
1,1,0,4.75,3.0,0,0,280000.0,270000.0,True,False,False,119000
1,1,0,4.75,3.0,0,1,205000.0,255000.0,False,False,False,535000
1,1,0,4.75,3.0,0,1,220000.0,245000.0,False,True,False,271000
9,3,3,4.0,3.0,0,1,260000.0,265000.0,False,False,True,205000
3,1,1,4.5,2.6,0,0,527500.0,574000.0,True,False,False,740000
1,1,0,4.75,3.0,0,1,527500.0,362250.0,False,False,True,707000
8,3,2,4.25,3.1,0,1,527500.0,660500.0,False,True,False,1000000
3,1,1,4.5,2.6,0,1,240000.0,240000.0,False,True,False,195000
7,3,2,4.25,3.2,0,1,195500.0,200000.0,False,False,True,81000
7,3,2,4.25,3.2,0,1,365000.0,357500.0,False,True,False,380000
11,4,3,4.0,2.9,0,0,527500.0,574000.0,True,False,False,680000
1,1,0,4.75,3.0,0,1,350000.0,453500.0,False,False,False,881000
5,2,1,4.25,3.4,0,1,250000.0,205000.0,False,True,False,105000
1,1,0,4.75,3.0,0,0,338000.0,308000.0,True,False,False,87500
5,2,1,4.25,3.4,0,1,455000.0,575000.0,False,False,False,1000000
9,3,3,4.0,3.0,0,1,527500.0,480000.0,False,True,False,650000
6,2,2,4.25,3.3,1,1,335000.0,350000.0,False,True,False,410000
2,1,0,4.5,2.8,0,0,255000.0,360000.0,True,False,False,175000
2,1,0,4.5,2.8,0,1,299500.0,285000.0,False,False,False,295000
8,3,2,4.25,3.1,0,1,192500.0,200000.0,False,True,False,126000
10,4,3,4.0,3.0,0,1,270000.0,580000.0,False,False,False,425000
3,1,1,4.5,2.6,0,1,205000.0,255000.0,False,True,False,181500
3,1,1,4.5,2.6,0,1,527500.0,574000.0,False,False,True,2600000
12,4,0,4.0,2.8,0,0,240500.0,250000.0,False,False,True,180000
1,1,0,4.75,3.0,0,1,141544.0,155000.0,False,True,False,105000
2,1,0,4.5,2.8,0,1,227500.0,232500.0,False,True,False,240000
9,3,3,4.0,3.0,0,1,215000.0,245000.0,False,True,False,190000
7,3,2,4.25,3.2,0,1,320000.0,340000.0,False,False,False,565000
4,2,1,4.25,3.5,1,1,280000.0,289000.0,False,False,True,300000
12,4,0,4.0,2.8,0,1,320000.0,289000.0,False,False,True,287500
12,4,0,4.0,2.8,0,0,230000.0,175000.0,True,False,False,116000
3,1,1,4.5,2.6,0,1,310000.0,300000.0,False,True,False,315000
4,2,1,4.25,3.5,0,1,237500.0,225000.0,False,False,True,160000
